	CHR	ChromosomePatch
clump154	6	614
clump155	6	639
clump156	6	640
clump157	6	641
clump158	6	642
clump159	6	643
clump160	6	644
clump161	6	645
clump162	7	7
clump163	7	81
clump164	7	83
clump165	7	84
clump166	7	87
clump167	7	108
clump168	7	109
clump169	7	110
clump170	7	111
clump171	7	112
clump172	7	163
clump173	7	189
clump174	7	190
clump175	7	370
clump176	7	390
clump177	7	391
clump178	7	392
clump179	8	33
clump180	8	34
clump181	8	44
clump182	8	93
clump183	8	94
clump184	8	103
clump185	8	104
clump186	8	154
clump187	8	435
clump188	8	510
clump189	8	511
clump190	8	512
clump191	8	513
clump192	8	514
clump193	9	74
clump194	9	76
clump195	9	87
clump196	9	88
clump197	9	135
clump198	9	136
clump199	9	328
clump200	9	438
clump201	9	440
clump202	9	441
clump203	9	521
clump204	9	530
clump205	9	560
clump206	10	3
clump207	10	181
clump208	10	182
clump209	10	183
clump210	10	184
clump211	10	188
clump212	10	190
clump213	10	204
clump214	10	205
clump215	10	206
clump216	10	251
clump217	10	320
clump218	10	321
clump219	10	323
clump220	10	360
clump221	10	416
clump222	10	417
clump223	10	418
clump224	10	458
clump225	10	490
clump226	10	491
clump227	10	492
clump228	10	506
clump229	11	6
clump230	11	8
clump231	11	9
clump232	11	30
clump233	11	234
clump234	11	235
clump235	11	236
clump236	11	247
clump237	11	261
clump238	11	264
clump239	11	265
clump240	11	266
clump241	11	267
clump242	11	268
clump243	11	275
clump244	11	276
clump245	11	277
clump246	11	304
clump247	11	305
clump248	11	409
clump249	11	432
clump250	11	433
clump251	11	453
clump252	11	454
clump253	11	455
clump254	11	500
clump255	11	501
clump256	11	537
clump257	12	51
clump258	12	57
clump259	12	193
clump260	12	194
clump261	12	198
clump262	12	212
clump263	12	213
clump264	12	259
clump265	12	260
clump266	12	360
clump267	12	409
clump268	12	410
clump269	12	458
clump270	12	532
clump271	13	203
clump272	13	204
clump273	13	294
clump274	13	295
clump275	13	296
clump276	13	441
clump277	14	93
clump278	14	147
clump279	14	148
clump280	14	152
clump281	14	212
clump282	14	213
clump283	14	243
clump284	14	244
clump285	14	245
clump286	14	246
clump287	14	275
clump288	14	276
clump289	14	283
clump290	14	284
clump291	15	163
clump292	15	164
clump293	15	225
clump294	15	266
clump295	15	267
clump296	15	282
clump297	16	217
clump298	16	218
clump299	16	230
clump300	16	319
clump301	16	328
clump302	17	1
clump303	17	2
clump304	17	30
clump305	17	31
clump306	17	49
clump307	17	50
clump308	17	120
clump309	17	144
clump310	17	145
clump311	17	183
clump312	17	184
clump313	17	185
clump314	17	186
clump315	17	187
clump316	17	188
clump317	17	189
clump318	17	190
clump319	17	225
clump320	17	276
clump321	18	207
clump322	18	226
clump323	18	243
clump324	18	292
clump325	18	306
clump326	18	307
clump327	18	308
clump328	19	68
clump329	19	128
clump330	19	154
clump331	19	155
clump332	19	167
clump333	19	168
clump334	19	205
clump335	20	135
clump336	20	136
clump337	20	197
clump338	20	198
clump339	20	209
clump340	20	248
clump341	20	249
clump342	21	161
clump343	21	171
clump344	22	78
clump345	22	79
clump346	22	113
clump347	22	114
clump348	22	115
clump349	22	116
clump350	22	117
clump351	22	155
clump352	22	156
clump353	22	161
clump354	22	162
clump355	22	164
clump356	22	172
clump357	22	173
clump358	22	174
clump359	22	182
clump360	23	39
clump361	23	45
clump362	23	123
clump363	23	202
clump364	23	203
clump365	23	204
clump366	23	205
clump367	23	206
clump368	23	207
clump369	23	208
clump370	23	210
clump371	23	211
clump372	23	212
clump373	23	266
clump374	23	267
clump375	23	268
clump376	23	279
clump377	23	280
clump378	23	281
