	CHR	ChromosomePatch
clump443	19	205
clump444	20	43
clump445	20	101
clump446	20	125
clump447	20	135
clump448	20	136
clump449	20	197
clump450	20	198
clump451	20	209
clump452	20	234
clump453	20	243
clump454	20	244
clump455	20	248
clump456	20	249
clump457	21	65
clump458	21	142
clump459	21	161
clump460	21	171
clump461	22	78
clump462	22	79
clump463	22	113
clump464	22	114
clump465	22	115
clump466	22	116
clump467	22	117
clump468	22	121
clump469	22	155
clump470	22	156
clump471	22	161
clump472	22	162
clump473	22	163
clump474	22	164
clump475	22	172
clump476	22	173
clump477	22	174
clump478	22	182
clump479	23	35
clump480	23	39
clump481	23	45
clump482	23	46
clump483	23	123
clump484	23	198
clump485	23	202
clump486	23	203
clump487	23	204
clump488	23	205
clump489	23	206
clump490	23	207
clump491	23	208
clump492	23	210
clump493	23	211
clump494	23	212
clump495	23	262
clump496	23	263
clump497	23	264
clump498	23	266
clump499	23	267
clump500	23	268
clump501	23	269
clump502	23	278
clump503	23	279
clump504	23	280
clump505	23	281
clump506	23	498
