	CHR	ChromosomePatch
clump443	10	506
clump444	11	5
clump445	11	6
clump446	11	8
clump447	11	9
clump448	11	12
clump449	11	29
clump450	11	30
clump451	11	36
clump452	11	51
clump453	11	52
clump454	11	110
clump455	11	131
clump456	11	189
clump457	11	190
clump458	11	191
clump459	11	230
clump460	11	234
clump461	11	235
clump462	11	236
clump463	11	247
clump464	11	261
clump465	11	262
clump466	11	263
clump467	11	264
clump468	11	265
clump469	11	266
clump470	11	267
clump471	11	268
clump472	11	269
clump473	11	270
clump474	11	271
clump475	11	273
clump476	11	275
clump477	11	276
clump478	11	277
clump479	11	278
clump480	11	304
clump481	11	305
clump482	11	409
clump483	11	432
clump484	11	433
clump485	11	446
clump486	11	453
clump487	11	454
clump488	11	455
clump489	11	500
clump490	11	501
clump491	11	502
clump492	11	503
clump493	11	537
clump494	12	27
clump495	12	51
clump496	12	57
clump497	12	58
clump498	12	59
clump499	12	108
clump500	12	193
clump501	12	194
clump502	12	195
clump503	12	197
clump504	12	198
clump505	12	199
clump506	12	212
clump507	12	213
clump508	12	259
clump509	12	260
clump510	12	265
clump511	12	269
clump512	12	360
clump513	12	361
clump514	12	362
clump515	12	368
clump516	12	384
clump517	12	409
clump518	12	410
clump519	12	411
clump520	12	434
clump521	12	439
clump522	12	440
clump523	12	444
clump524	12	458
clump525	12	460
clump526	12	491
clump527	12	532
clump528	13	203
clump529	13	204
clump530	13	205
clump531	13	294
clump532	13	295
clump533	13	296
clump534	13	304
clump535	13	360
clump536	13	367
clump537	13	368
clump538	13	440
clump539	13	441
clump540	14	93
clump541	14	98
clump542	14	147
clump543	14	148
clump544	14	151
clump545	14	152
clump546	14	204
clump547	14	212
clump548	14	213
clump549	14	243
clump550	14	244
clump551	14	245
clump552	14	246
clump553	14	258
clump554	14	275
clump555	14	276
clump556	14	277
clump557	14	282
clump558	14	283
clump559	14	284
clump560	14	310
clump561	14	366
clump562	14	367
clump563	14	379
clump564	15	133
clump565	15	153
clump566	15	163
clump567	15	164
clump568	15	169
clump569	15	170
clump570	15	171
clump571	15	173
clump572	15	223
clump573	15	224
clump574	15	225
clump575	15	226
clump576	15	227
clump577	15	239
clump578	15	241
clump579	15	266
clump580	15	267
clump581	15	282
clump582	15	298
clump583	15	315
clump584	15	322
clump585	15	355
clump586	15	361
clump587	15	396
clump588	15	406
clump589	15	407
clump590	16	8
clump591	16	11
clump592	16	17
clump593	16	19
clump594	16	36
clump595	16	125
clump596	16	129
clump597	16	194
clump598	16	217
clump599	16	218
clump600	16	230
clump601	16	232
clump602	16	255
clump603	16	268
clump604	16	269
clump605	16	270
clump606	16	271
clump607	16	272
clump608	16	274
clump609	16	282
clump610	16	286
clump611	16	287
clump612	16	314
clump613	16	319
clump614	16	328
clump615	16	340
clump616	16	342
clump617	16	352
clump618	17	1
clump619	17	2
clump620	17	8
clump621	17	29
clump622	17	30
clump623	17	31
clump624	17	49
clump625	17	50
clump626	17	67
clump627	17	68
clump628	17	70
clump629	17	71
clump630	17	119
clump631	17	120
clump632	17	141
clump633	17	142
clump634	17	143
clump635	17	144
clump636	17	145
clump637	17	146
clump638	17	183
clump639	17	184
clump640	17	185
clump641	17	186
clump642	17	187
clump643	17	188
clump644	17	189
clump645	17	190
clump646	17	225
clump647	17	226
clump648	17	228
clump649	17	229
clump650	17	244
clump651	17	248
clump652	17	254
clump653	17	276
clump654	18	88
clump655	18	180
clump656	18	181
clump657	18	207
clump658	18	212
clump659	18	213
clump660	18	214
clump661	18	226
clump662	18	243
clump663	18	244
clump664	18	292
clump665	18	298
clump666	18	306
clump667	18	307
clump668	18	308
clump669	19	20
clump670	19	68
clump671	19	128
clump672	19	145
clump673	19	152
clump674	19	153
clump675	19	154
clump676	19	155
clump677	19	156
clump678	19	167
clump679	19	168
clump680	19	170
clump681	19	171
clump682	19	190
clump683	19	192
clump684	19	200
clump685	19	205
clump686	19	226
clump687	20	3
clump688	20	43
clump689	20	100
clump690	20	101
clump691	20	102
clump692	20	125
clump693	20	135
clump694	20	136
clump695	20	146
clump696	20	197
clump697	20	198
clump698	20	208
clump699	20	209
clump700	20	226
clump701	20	234
clump702	20	243
clump703	20	244
clump704	20	248
clump705	20	249
clump706	20	250
clump707	21	65
clump708	21	72
clump709	21	142
clump710	21	149
clump711	21	161
clump712	21	171
clump713	21	181
clump714	22	78
clump715	22	79
clump716	22	82
clump717	22	113
clump718	22	114
clump719	22	115
clump720	22	116
clump721	22	117
clump722	22	121
clump723	22	122
clump724	22	132
clump725	22	155
clump726	22	156
clump727	22	161
clump728	22	162
clump729	22	163
clump730	22	164
clump731	22	171
clump732	22	172
clump733	22	173
clump734	22	174
clump735	22	182
clump736	23	35
clump737	23	39
clump738	23	45
clump739	23	46
clump740	23	67
clump741	23	87
clump742	23	100
clump743	23	123
clump744	23	192
clump745	23	193
clump746	23	198
clump747	23	199
clump748	23	202
clump749	23	203
clump750	23	204
clump751	23	205
clump752	23	206
clump753	23	207
clump754	23	208
clump755	23	210
clump756	23	211
clump757	23	212
clump758	23	222
clump759	23	223
clump760	23	225
clump761	23	226
clump762	23	227
clump763	23	228
clump764	23	229
clump765	23	230
clump766	23	262
clump767	23	263
clump768	23	264
clump769	23	265
clump770	23	266
clump771	23	267
clump772	23	268
clump773	23	269
clump774	23	278
clump775	23	279
clump776	23	280
clump777	23	281
clump778	23	347
clump779	23	410
clump780	23	498
clump781	23	500
